"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Rprl3",32150.2766792151,-10.719348443036,1.78957369868999,-5.98988935235402,2.09983848496838e-09,3.32803401482639e-05
"Snord17",6437.17303490934,-10.2367463709769,1.74548492880082,-5.86470052079436,4.49944048236045e-09,3.56558161024654e-05
"H4c12",10175.3681147986,-10.2540581974859,1.78463141527553,-5.74575686033338,9.15107238993471e-09,4.83451154360251e-05
"Rpph1",171109.127217602,-9.97246600789141,1.75471465725484,-5.68324084298288,1.32165938807923e-08,5.23674491041694e-05
"H4c1",5621.42640476459,-9.31181364561721,1.68772754543586,-5.51736781851978,3.4411472574648e-08,9.31400202870624e-05
"H4c14",1596.61717821086,-9.24857336033411,1.68615901179216,-5.48499476956455,4.13481651382999e-08,9.31400202870624e-05
"H4c18",13240.9924574968,-9.66265907563183,1.76324328975941,-5.48004868741073,4.25208810514459e-08,9.31400202870624e-05
"H4c8",14319.0484573152,-9.50071036737436,1.74533875466034,-5.443476426571,5.22506512075514e-08,9.31400202870624e-05
"H4c17",11264.6587783908,-9.52930989799529,1.75128990283612,-5.44130922159893,5.28904147002058e-08,9.31400202870624e-05
"Rn7s2",322399.430552119,-9.1977977860248,1.70313615647508,-5.40050644280911,6.64530244819817e-08,9.52738003113598e-05
"H4c6",10870.3804759562,-9.43885894857548,1.75093565061624,-5.39075147921826,7.01636518641812e-08,9.52738003113598e-05
"Rn7s1",322984.85823433,-9.17324529358337,1.70518322141872,-5.37962441710586,7.46413951965524e-08,9.52738003113598e-05
"H2bc3",5578.2616662456,-8.95077534430801,1.66639078014835,-5.37135433713284,7.81474795916258e-08,9.52738003113598e-05
"Scarna10",806.72339849271,-9.89937299373201,1.87915508780552,-5.26799148083756,1.37924506392211e-07,0.00015614039298644
"H3c7",4422.04767826712,-8.74150503258375,1.67649187668099,-5.21416486066704,1.8464720021891e-07,0.000194839519444041
"H3c2",4438.25728357046,-8.38542824871223,1.611828075589,-5.20243342060412,1.96695836400066e-07,0.000194839519444041
"H3c3",6197.14081913109,-8.04738341488979,1.55061680151292,-5.18979505899719,2.10525660104027e-07,0.000196271834528748
"H2bc14",3366.68957182151,-8.94691209098674,1.73472744211263,-5.15753188298606,2.50226252123503e-07,0.000218608551570189
"Gm26448",3114.97220015951,-8.09786568345179,1.57274849308165,-5.14886246534231,2.62070949576225e-07,0.000218608551570189
"H4c16",4571.79458584702,-9.17460565013559,1.78827068215554,-5.13043452631943,2.89074096326196e-07,0.000229076767633694
"H4c3",3656.88535720999,-8.52212119396068,1.6674711299962,-5.11080584284545,3.20787532616268e-07,0.000242102933544535
"Snord3a",12449.3503133025,-8.38383048560387,1.65923616819376,-5.05282529775764,4.35322052030046e-07,0.000286377100696575
"H4c4",8349.68851552805,-8.36668963104044,1.65636860712606,-5.05122446479914,4.38986831699803e-07,0.000286377100696575
"Rn7sk",104109.58626023,-8.59688532096157,1.70274873606822,-5.04882789742217,4.44528969485246e-07,0.000286377100696575
"H2bc24",5081.53334055679,-8.21316409889517,1.63008440481092,-5.03849007735758,4.69218741176872e-07,0.000286377100696575
"H2bc12",6354.23860404639,-8.33671901797453,1.65468398064348,-5.03825450387966,4.69796493034952e-07,0.000286377100696575
"H4c11",4181.14286153668,-8.62155691218961,1.7312136304731,-4.98006529086393,6.35628254031038e-07,0.000367949679867739
"H2bc15",1804.93734436256,-8.24531166890826,1.65710838219831,-4.97572262471454,6.50046756028562e-07,0.000367949679867739
"Rmrp",145206.472545373,-8.51844755333719,1.72607910964007,-4.93514318420406,8.00919798970545e-07,0.000424221262768738
"H4c9",6340.59270569255,-7.88660832704231,1.59842439005931,-4.93398898070473,8.05669871016404e-07,0.000424221262768738
"H4c2",4839.49735333338,-8.70488597808566,1.76632946886905,-4.92823458562307,8.29759552390111e-07,0.000424221262768738
"H2bc18",6153.99556654262,-8.04311884342438,1.63695286660227,-4.91347002563308,8.94784178487819e-07,0.000441547539295066
"H2bc22",2265.07467153564,-7.48328238659013,1.52548566080459,-4.90550817937101,9.31857570578799e-07,0.000441547539295066
"H1f3",8063.40101881638,-8.22488753114363,1.67776220823728,-4.90229633899371,9.47227985111506e-07,0.000441547539295066
"H1f5",3918.1329143675,-8.24150101047393,1.68461840828588,-4.89220643080812,9.97117799763995e-07,0.00045152342881313
"H2bc11",2517.46391030397,-7.78030570410626,1.59452055453742,-4.87940132346765,1.06408344943051e-06,0.000468462738611784
"Mir6516",3711.43918931423,-7.81472938267758,1.6053326188761,-4.86798143312423,1.12743919606511e-06,0.000482940103200969
"H3c10",3865.00438964013,-8.02558169928318,1.65233379443996,-4.85711889830552,1.19106080469772e-06,0.000496766386675108
"H1f1",5308.91076023491,-8.09578244930715,1.68959724693081,-4.79154571541431,1.65501299376972e-06,0.000672571818929649
"H3c4",2637.89964194716,-7.45565868071258,1.56487962440108,-4.76436561921885,1.89448721725937e-06,0.000750643197658594
"H3c6",6063.13974352723,-7.7107498698431,1.6297482720519,-4.73125206025531,2.23139242054923e-06,0.000862569231055724
"H2bc8",3855.72598625829,-7.57940124108248,1.60693999217547,-4.71666725452612,2.39739295087122e-06,0.000886042637824124
"H3c1",2670.49400491783,-7.48765488269364,1.58786223778319,-4.71555699513778,2.41050402439827e-06,0.000886042637824124
"H2bc23",5005.16888750217,-7.46509204195671,1.58446378388802,-4.71143115915125,2.45983191774001e-06,0.000886042637824124
"Snord3b2",13482.7861755702,-7.53475106182939,1.60669002896495,-4.68961089319971,2.73725060219141e-06,0.000964059662091814
"H3c14",1936.41926698501,-7.49616116319021,1.60802979794672,-4.66170538180449,3.135999017832e-06,0.00108048800942651
"H2bc13",2618.64486257299,-7.3539455640165,1.5882560571558,-4.63020149105285,3.6531007716856e-06,0.00123187221554139
"H2ac19",9138.51688747252,-7.74465227626833,1.67542680851699,-4.62249513789477,3.79151701520023e-06,0.00125191152445643
"mt-Rnr2",620233.247153981,-6.75188751992688,1.46632366968956,-4.60463652022773,4.131868918949e-06,0.00133644878564128
"H2bc7",985.339285322832,-7.32081150800974,1.59387769035001,-4.59308236280171,4.3674658730823e-06,0.00138439933244963
"H1f2",6750.82897436985,-7.15918776698219,1.56255530213518,-4.58171800844386,4.61171494192646e-06,0.00143315823754103
"Scarna2",396.490494682487,-7.35969851952814,1.60883522092141,-4.57455084512203,4.7724270240982e-06,0.0014351017546237
"H3c13",2888.86656469025,-7.67984591297781,1.67924753853535,-4.57338524353368,4.79906574516097e-06,0.0014351017546237
"H2bc6",2922.30944311852,-7.60028199551079,1.68729044972013,-4.5044301630294,6.65512787456764e-06,0.0019532800311856
"Snord3b4",13629.5749264395,-7.17623914611377,1.61612070591093,-4.44041037273194,8.97874942343967e-06,0.0025025061796477
"Snora73b",8435.51689708369,-6.41679476685322,1.44522707865623,-4.43999068493758,8.9962771637007e-06,0.0025025061796477
"Snord3b3",13170.6218709239,-7.14033014834802,1.60821910331783,-4.43989885060884,9.00011686793607e-06,0.0025025061796477
"H2ac18",8937.14992042549,-7.20843861485765,1.62595170948389,-4.43336574684974,9.27732857313764e-06,0.00253511000958032
"H3c8",2300.04159225204,-7.60435539225024,1.71700805915734,-4.42884082674733,9.47409096219033e-06,0.00254499775694499
"H3c11",3361.37074682603,-7.15775123074557,1.62035964882672,-4.41738427387301,9.9902527607474e-06,0.00263892526675143
"Terc",1608.021745679,-7.85432121162355,1.79981532326872,-4.36395951855716,1.27729223463082e-05,0.00331577006264343
"H2ac15",2368.10589320189,-6.99702720278525,1.60460438360266,-4.36059334891977,1.29710230225183e-05,0.00331577006264343
"H2af-ps2",3709.33489925283,-7.20585471893741,1.67505117575269,-4.30187138354112,1.6936161505134e-05,0.00426065434436299
"Snora74a",561.246953764291,-6.25629995048864,1.46317720212048,-4.27583203279946,1.90424758826771e-05,0.00471569062913357
"H2bc4",5782.66540480563,-6.56168582582479,1.54647064201472,-4.24300704297645,2.20544511393698e-05,0.00537755378627495
"H2bc9",1117.3843284541,-7.06415127244073,1.69181100419842,-4.17549670436607,2.97336558959352e-05,0.00714013200446481
"Aspn",56.5678765054085,-7.87282327526067,1.88822623822358,-4.16942796148587,3.05365115235985e-05,0.00722348016623154
"H2ac20",2162.0272002941,-7.51838955325414,1.81087481657454,-4.1517997182577,3.29870889708412e-05,0.00768841725145386
"H3c15",1685.95044212348,-6.47426445202009,1.57400006948589,-4.11325550584936,3.90118187544209e-05,0.0089608451512872
"Gm34885",57.4884366593686,-8.48037556697187,2.07363612675517,-4.08961604090201,4.32087858554413e-05,0.00967503889080037
"Snora73a",6577.95125136164,-6.11817796968261,1.49628879622301,-4.0889018116866,4.33420254430454e-05,0.00967503889080037
